"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер неавторизованным пользователем",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:11 GMT 2024","59","","ApiSuite","","","","Тестирование апи метода UpdateBanner: PATCH /banner",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","5","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер на существующие у другого баннера feature и tag ids",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","7","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Успешное удаление баннера",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","1","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения неактивного баннера",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер пользователя с неверными правами",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Попытка получить список баннеров пользователя с неверными правами",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер с неверным типом параметра в строке запроса",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер неавторизованным пользователем",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер с неверным типом параметра в строке запроса",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","11","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Успешное создание баннера",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","4","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение списка баннеров по фиче",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения баннера неавторизованным пользователем",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","12","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Успешное обновление баннера",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","1","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер неавторизованным пользователем",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","4","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Успешное получение активного баннера с обязательным запросом к базе после кэширования",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","1","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер пользователя с неверными правами",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","4","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер с существующими feature и tag ids",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер с неверным типом параметра в строке запроса",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","11","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Успешное обновление баннера с одним из полей",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","0","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Попытка получить список баннеров с неверным типом параметра в строке запроса",""
"passed","Mon Jun 17 11:28:10 GMT 2024","Mon Jun 17 11:28:10 GMT 2024","55","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Успешное удаление баннера по фиче",""
