"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","2","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Успешное получение активного баннера с указанной версией",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","4","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Успешное получение активного баннера с обязательным запросом к базе после кэширования",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","9","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Успешное обновление баннеров с сохранением только трёх последних версий",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить не существующий баннер",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","11","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Успешное обновление баннера с одним из полей",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер без параметров запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","191","","ApiSuite","","","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода CreateBanner: POST /banner","","","","Попытка создать баннер пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","54","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Успешное удаление баннера по фиче",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода GetUserBanner: GET /user_banner","","","","Попытка получения баннера неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер с неверным типом полей в теле запроса",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","57","","ApiSuite","","","","Тестирование апи метода GetUserBanner: GET /user_banner",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","3","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение списка баннеров при фильтре запрашивающем несуществующий баннер",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","1","ApiSuite","Тестирование апи метода UpdateBanner: PATCH /banner","","","","Попытка обновить баннер пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","9","ApiSuite","Тестирование апи метода GetAdminBanner: GET /banner","","","","Успешное получение списка баннеров",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","54","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Успешное удаление баннера по тэгу",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер пользователя с неверными правами",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","","","","Попытка удалить баннер неавторизованным пользователем",""
"passed","Sat Apr 13 20:09:05 GMT 2024","Sat Apr 13 20:09:05 GMT 2024","0","ApiSuite","Тестирование апи метода DeleteBanner: DELETE /banner","","","","Попытка удалить баннер неавторизованным пользователем",""
